age,qx,px
20,0.001152,0.998848
21,0.001152,0.998848
22,0.001152,0.998848
23,0.001152,0.998848
24,0.001152,0.998848
25,0.001413,0.998587
26,0.0014915,0.9985085
27,0.0014915,0.9985085
28,0.0014915,0.9985085
29,0.0014915,0.9985085
30,0.0014915,0.9985085
31,0.0014915,0.9985085
32,0.0014915,0.9985085
33,0.0014915,0.9985085
34,0.0014915,0.9985085
35,0.0022895,0.9977105
36,0.0022895,0.9977105
37,0.0022895,0.9977105
38,0.0022895,0.9977105
39,0.0022895,0.9977105
40,0.003211,0.996789
41,0.003211,0.996789
42,0.003211,0.996789
43,0.003211,0.996789
44,0.003211,0.996789
45,0.0046265,0.9953735
46,0.0047483,0.9952517
47,0.0047483,0.9952517
48,0.0047483,0.9952517
49,0.0047483,0.9952517
50,0.007059,0.992941
51,0.007059,0.992941
52,0.007059,0.992941
53,0.007059,0.992941
54,0.007059,0.992941
55,0.0102863,0.9897137
56,0.0102863,0.9897137
57,0.0102863,0.9897137
58,0.0102863,0.9897137
59,0.0102863,0.9897137
60,0.0,1.0
61,0.0,1.0
62,0.0,1.0
63,0.0,1.0
64,0.0,1.0
65,0.0,1.0
66,0.0,1.0
67,0.0,1.0
68,0.0,1.0
69,0.0,1.0
70,0.0,1.0
